,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Doha,25.2867,51.5333,73.4,43,0,9.22,QA,1610196904
1,Mataura,-46.1927,168.8643,54.0,84,56,5.01,NZ,1610196904
2,Saskylakh,71.9167,114.0833,-19.98,86,100,12.21,RU,1610196905
3,Port Elizabeth,-33.918,25.5701,84.2,61,20,12.66,ZA,1610196821
4,Talara,-4.5772,-81.2719,69.8,88,75,14.97,PE,1610196681
5,Punta Arenas,-53.15,-70.9167,50.0,62,75,17.27,CL,1610196906
6,Hobart,-42.8794,147.3294,62.01,77,75,4.61,AU,1610196781
7,Szprotawa,51.5656,15.5366,33.01,80,100,4.0,PL,1610196907
8,Bonavista,48.6499,-53.1147,37.99,100,100,5.75,CA,1610196907
9,Dikson,73.5069,80.5464,-13.27,85,0,6.67,RU,1610196908
10,Kapaa,22.0752,-159.319,66.2,94,1,6.91,US,1610196908
11,Kruisfontein,-34.0033,24.7314,87.01,54,0,8.99,ZA,1610196909
12,Bambari,5.768,20.6757,106.86,15,88,0.67,CF,1610196690
13,Upernavik,72.7868,-56.1549,11.34,79,88,8.99,GL,1610196910
14,Mahébourg,-20.4081,57.7,82.4,83,75,8.05,MU,1610196645
15,Bluff,-46.6,168.3333,54.0,84,87,5.01,NZ,1610196910
16,Puerto Ayora,-0.7393,-90.3518,73.0,94,91,4.0,EC,1610196911
17,Bredasdorp,-34.5322,20.0403,82.4,42,1,19.57,ZA,1610196911
18,Ushuaia,-54.8,-68.3,53.6,47,0,16.11,AR,1610196912
19,Grand Gaube,-20.0064,57.6608,82.99,73,0,8.01,MU,1610196912
20,Darnah,32.767,22.6367,78.06,39,0,6.49,LY,1610196913
21,Yuncheng,35.0231,110.9928,25.02,66,100,6.31,CN,1610196913
22,Humaitá,-7.5061,-63.0208,81.5,79,100,1.74,BR,1610196913
23,Castro,-24.7911,-50.0119,69.58,86,97,8.1,BR,1610196914
24,Yellowknife,62.456,-114.3525,6.8,85,20,6.91,CA,1610196914
25,Busselton,-33.65,115.3333,68.25,82,57,9.98,AU,1610196915
26,Vulcan,45.3833,23.2667,33.58,85,97,1.45,RO,1610196645
27,Qaanaaq,77.484,-69.3632,-0.92,79,71,5.95,GL,1610196916
28,Esperance,-33.8667,121.9,84.2,32,0,14.97,AU,1610196917
29,Ulladulla,-35.35,150.4667,62.6,88,0,3.44,AU,1610196918
30,Mount Gambier,-37.8333,140.7667,59.0,88,55,5.75,AU,1610196804
31,Faanui,-16.4833,-151.75,80.92,71,100,10.49,PF,1610196919
32,Albany,42.6001,-73.9662,19.99,64,100,1.01,US,1610196919
33,Barrow,71.2906,-156.7887,-7.6,77,40,3.44,US,1610196919
34,Nome,64.5011,-165.4064,-0.4,71,90,10.36,US,1610196920
35,Lebu,-37.6167,-73.65,56.88,66,86,2.75,CL,1610196625
36,Khatanga,71.9667,102.5,-24.11,87,98,2.68,RU,1610196921
37,Port Lincoln,-34.7333,135.8667,69.69,66,0,8.16,AU,1610196921
38,Hermanus,-34.4187,19.2345,75.0,70,34,10.0,ZA,1610196922
39,Saint Paul Harbor,57.79,-152.4072,28.4,80,1,10.8,US,1610196922
40,Narrabri,-30.3167,149.7833,71.6,53,40,10.36,AU,1610196923
41,Marfino,55.7028,37.3822,23.0,86,90,8.95,RU,1610196923
42,Zheleznodorozhnyy,55.7503,38.0042,23.0,86,90,6.71,RU,1610196669
43,Coyhaique,-45.5752,-72.0662,53.6,66,75,6.91,CL,1610196624
44,Longyearbyen,78.2186,15.6401,19.4,68,75,6.91,SJ,1610196925
45,Pevek,69.7008,170.3133,-21.98,88,13,2.21,RU,1610196925
